,Circuit,contentores,tipo,volume,percentagem,estado,Recolhidos,Fora do Contentor,Uso Comercial,Latitude,Longitude,%_recolhidos,vol_instalado_m3,vol_cont_recolhidos_m3,vol_recolhido_m3
79,2,2,Contentor semi-enterrado,3000,1.0,Bom,2,Não,Não,37.128464,-8.539873,1.0,6.0,6.0,6.0
80,2,2,Rectangular c/ rodas,1100,0.25,Bom,1,Não,Não,37.127377,-8.531184,0.5,2.2,1.1,0.275
81,2,1,Rectangular c/ rodas,1100,1.0,Bom,1,Não,Não,37.129541,-8.531811,1.0,1.1,1.1,1.1
82,2,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.126481,-8.534424,1.0,6.0,6.0,3.0
83,2,3,Rectangular c/ rodas,1100,1.0,Bom,3,Não,Não,37.129745,-8.533846,1.0,3.3000000000000003,3.3000000000000003,3.3000000000000003
84,4,1,Rectangular c/ rodas,1100,0.5,Bom,1,Não,Não,37.142141,-8.564316,1.0,1.1,1.1,0.55
85,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.145627,-8.564521,1.0,3.0,3.0,2.25
86,2,3,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.130725,-8.53507,0.3333333333333333,9.0,3.0,1.5
87,4,1,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.145893,-8.56317,1.0,3.0,3.0,1.5
88,2,3,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.129677,-8.53405,0.6666666666666666,9.0,6.0,4.5
89,4,1,Contentor semi-enterrado,3000,0.0,Bom,0,Não,Não,37.144898,-8.565498,0.0,3.0,0.0,0.0
90,4,1,Rectangular c/ rodas,1100,0.0,Bom,0,Não,Não,37.149864,-8.567631,0.0,1.1,0.0,0.0
91,2,2,Rectangular c/ rodas,1100,0.75,Bom,2,Não,Não,37.129393,-8.535592,1.0,2.2,2.2,1.6500000000000001
92,4,1,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.150582,-8.568328,1.0,3.0,3.0,1.5
93,4,2,Rectangular c/ rodas,1100,0.75,Razoável,2,Não,Não,37.148926,-8.568421,1.0,2.2,2.2,1.6500000000000001
94,2,3,Rectangular c/ rodas,1100,0.5,Bom,2,Não,Não,37.129204,-8.537198,0.6666666666666666,3.3000000000000003,2.2,1.1
95,4,1,Rectangular c/ rodas,1100,1.0,Razoável,1,Não,Não,37.144481,-8.566049,1.0,1.1,1.1,1.1
96,4,1,Contentor semi-enterrado,3000,1.0,Bom,1,Não,Não,37.143769,-8.56338,1.0,3.0,3.0,3.0
97,4,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.144286,-8.562435,1.0,6.0,6.0,4.5
98,2,1,Rectangular c/ rodas,1100,0.75,Bom,1,Não,Não,37.134442,-8.538858,1.0,1.1,1.1,0.8250000000000001
99,2,3,Contentor semi-enterrado,3000,1.0,Razoável,3,Não,Não,37.134617,-8.537836,1.0,9.0,9.0,9.0
100,4,1,Rectangular c/ rodas,1100,1.0,Bom,1,Não,Sim,37.138952,-8.556812,1.0,1.1,1.1,1.1
101,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.137111,-8.554262,1.0,3.0,3.0,2.25
102,4,1,Rectangular c/ rodas,1100,0.75,Bom,1,Não,Não,37.136459,-8.55484,1.0,1.1,1.1,0.8250000000000001
103,2,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.135332,-8.537616,1.0,6.0,6.0,4.5
104,4,1,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.136711,-8.560235,1.0,3.0,3.0,1.5
105,4,1,Contentor semi-enterrado,3000,1.0,Bom,1,Não,Não,37.136895,-8.562653,1.0,3.0,3.0,3.0
106,2,2,Contentor semi-enterrado,3000,0.5,Razoável,2,Não,Não,37.134563,-8.536686,1.0,6.0,6.0,3.0
107,4,1,Contentor semi-enterrado,3000,0.0,Bom,0,Não,Não,37.137197,-8.562657,0.0,3.0,0.0,0.0
108,4,1,Contentor semi-enterrado,3000,0.0,Bom,0,Não,Não,37.135813,-8.564347,0.0,3.0,0.0,0.0
109,2,2,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.13294,-8.536643,0.5,6.0,3.0,1.5
110,4,2,Contentor semi-enterrado,3000,0.5,Razoável,2,Não,Não,37.136673,-8.564685,1.0,6.0,6.0,3.0
111,4,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.136366,-8.565754,1.0,6.0,6.0,3.0
112,2,2,Contentor semi-enterrado,3000,1.0,Bom,1,Não,Não,37.131792,-8.537137,0.5,6.0,3.0,3.0
113,4,1,Rectangular c/ rodas,1100,0.5,Bom,1,Não,Não,37.134136,-8.56707,1.0,1.1,1.1,0.55
114,4,2,Rectangular c/ rodas,1100,0.75,Bom,2,Sim,Não,37.133816,-8.568979,1.0,2.2,2.2,1.6500000000000001
115,4,1,Contentor semi-enterrado,3000,0.0,Bom,1,Não,Não,37.134437,-8.569433,1.0,3.0,3.0,0.0
116,4,1,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.13442,-8.569454,1.0,3.0,3.0,1.5
117,2,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.131631,-8.535898,1.0,6.0,6.0,3.0
118,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.135118,-8.569516,1.0,3.0,3.0,2.25
119,2,2,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.131735,-8.534948,0.5,6.0,3.0,1.5
120,4,2,Rectangular c/ rodas,1100,0.25,Bom,2,Não,Não,37.134049,-8.570563,1.0,2.2,2.2,0.55
121,4,3,Rectangular c/ rodas,1100,0.25,Bom,3,Não,Não,37.132991,-8.571184,1.0,3.3000000000000003,3.3000000000000003,0.8250000000000001
122,4,1,Contentor semi-enterrado,3000,0.5,Bom,1,Não,Não,37.132591,-8.572869,1.0,3.0,3.0,1.5
123,2,2,Contentor semi-enterrado,3000,1.0,Razoável,2,Não,Não,37.135788,-8.535639,1.0,6.0,6.0,6.0
124,4,2,Rectangular c/ rodas,1100,1.0,Bom,2,Não,Não,37.135009,-8.574606,1.0,2.2,2.2,2.2
125,2,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.136757,-8.535612,1.0,3.0,3.0,2.25
126,4,1,Rectangular c/ rodas,1100,1.0,Bom,1,Não,Não,37.134332,-8.57668,1.0,1.1,1.1,1.1
127,4,1,Rectangular c/ rodas,240,0.0,Mau,0,Não,Não,37.134331,-8.57667,0.0,0.24,0.0,0.0
128,4,3,Rectangular c/ rodas,1100,0.5,Bom,3,Não,Não,37.133995,-8.571856,1.0,3.3000000000000003,3.3000000000000003,1.6500000000000001
129,4,3,Rectangular c/ rodas,1100,0.75,Bom,3,Não,Não,37.132899,-8.570322,1.0,3.3000000000000003,3.3000000000000003,2.475
130,2,3,Contentor semi-enterrado,3000,0.75,Razoável,2,Não,Não,37.135993,-8.537334,0.6666666666666666,9.0,6.0,4.5
131,4,2,Rectangular c/ rodas,1100,0.75,Bom,2,Não,Não,37.132126,-8.570975,1.0,2.2,2.2,1.6500000000000001
132,4,2,Rectangular c/ rodas,1100,0.75,Bom,2,Não,Não,37.133019,-8.574072,1.0,2.2,2.2,1.6500000000000001
133,2,1,Rectangular c/ rodas,1100,1.0,Bom,1,Não,Não,37.13507,-8.539217,1.0,1.1,1.1,1.1
134,4,3,Contentor semi-enterrado,3000,1.0,Bom,3,Não,Não,37.131363,-8.572973,1.0,9.0,9.0,9.0
135,2,2,Contentor semi-enterrado,3000,0.5,Bom,2,Não,Não,37.133851,-8.540823,1.0,6.0,6.0,3.0
136,4,1,Contentor semi-enterrado,3000,0.0,Bom,0,Não,Não,37.125789,-8.573703,0.0,3.0,0.0,0.0
137,4,1,Rectangular c/ rodas,1100,0.75,Razoável,1,Não,Não,37.130536,-8.573982,1.0,1.1,1.1,0.8250000000000001
138,2,3,Contentor semi-enterrado,3000,1.0,Bom,3,Não,Não,37.133236,-8.544895,1.0,9.0,9.0,9.0
139,4,1,Rectangular c/ rodas,1100,0.0,Bom,0,Não,Não,37.130255,-8.575803,0.0,1.1,0.0,0.0
140,4,2,Contentor semi-enterrado,3000,0.75,Bom,2,Sim,Não,37.132061,-8.577631,1.0,6.0,6.0,4.5
141,4,3,Contentor semi-enterrado,3000,0.75,Bom,3,Não,Não,37.13124,-8.577111,1.0,9.0,9.0,6.75
142,4,1,Contentor semi-enterrado,3000,0.0,Bom,0,Não,Não,37.128562,-8.582252,0.0,3.0,0.0,0.0
143,4,1,Rectangular c/ rodas,1100,0.5,Bom,1,Não,Sim,37.128961,-8.579543,1.0,1.1,1.1,0.55
144,4,2,Rectangular c/ rodas,1100,0.25,Razoável,2,Não,Não,37.129369,-8.583618,1.0,2.2,2.2,0.55
145,2,1,Rectangular c/ rodas,1100,0.5,Bom,1,Não,Não,37.2076,-8.538776,1.0,1.1,1.1,0.55
146,4,1,Contentor semi-enterrado,3000,0.0,Bom,0,Não,Não,37.131022,-8.583801,0.0,3.0,0.0,0.0
147,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.130202,-8.582286,1.0,3.0,3.0,2.25
148,2,2,Rectangular c/ rodas,1100,1.0,Bom,2,Não,Não,37.222154,-8.543736,1.0,2.2,2.2,2.2
149,4,1,Rectangular c/ rodas,1100,0.75,Bom,1,Não,Sim,37.129482,-8.582513,1.0,1.1,1.1,0.8250000000000001
150,2,3,Rectangular c/ rodas,1100,1.0,Bom,3,Não,Não,37.228318,-8.543916,1.0,3.3000000000000003,3.3000000000000003,3.3000000000000003
151,4,5,Rectangular c/ rodas,1100,0.75,Bom,5,Não,Não,37.130667,-8.580986,1.0,5.5,5.5,4.125
152,4,1,Contentor semi-enterrado,3000,0.0,Bom,0,Não,Não,37.129255,-8.582848,0.0,3.0,0.0,0.0
153,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.128119,-8.58342,1.0,3.0,3.0,2.25
154,2,2,Rectangular c/ rodas,1100,1.0,Bom,1,Não,Não,37.240145,-8.546035,0.5,2.2,1.1,1.1
155,4,2,Contentor semi-enterrado,3000,0.75,Bom,0,Não,Não,37.127127,-8.581425,0.0,6.0,0.0,0.0
156,2,1,Rectangular c/ rodas,1100,0.5,Bom,1,Não,Não,37.233102,-8.544179,1.0,1.1,1.1,0.55
157,4,3,Rectangular c/ rodas,1100,0.5,Bom,1,Não,Não,37.12528,-8.579752,0.3333333333333333,3.3000000000000003,1.1,0.55
158,2,1,Sacos de lixo,120,0.5,Mau,1,Sim,Não,37.2297,-8.543996,1.0,0.12,0.12,0.06
159,4,2,Contentor semi-enterrado,3000,0.75,Bom,2,Não,Não,37.127356,-8.57671,1.0,6.0,6.0,4.5
160,2,2,Rectangular c/ rodas,1100,0.5,Bom,2,Não,Não,37.224649,-8.543881,1.0,2.2,2.2,1.1
161,2,4,Rectangular c/ rodas,1100,1.0,Bom,4,Não,Não,37.218243,-8.543653,1.0,4.4,4.4,4.4
162,4,1,Contentor semi-enterrado,3000,0.75,Bom,1,Não,Não,37.128954,-8.57788,1.0,3.0,3.0,2.25
