Location,Time,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing,Diferença,dist,Tempo Acumulado (min),Dist. Acumulada (km)
92,2021-07-08 18:28:07+00:00,37.170185,-8.551722,107.22325,16.872,5.721651,18.435555,3.0,13.278320137520568,20,3.439
93,2021-07-08 18:28:13+00:00,37.170357,-8.551291,103.174034,6.432,6.1446285,76.40108,6.0,42.71024908587091,20,3.482
94,2021-07-08 18:28:19+00:00,37.170486,-8.550803,102.03238,7.504,7.7153726,42.611923,6.0,45.55630700029289,20,3.527
95,2021-07-08 18:28:25+00:00,37.170933,-8.550708,108.12186,9.112,8.002935,3.4761112,6.0,50.41184139044703,20,3.577
96,2021-07-08 18:28:37+00:00,37.171032,-8.550797,109.844124,15.69,0.93622327,190.90996,12.0,13.541341826406892,21,3.591
97,2021-07-08 18:30:01+00:00,37.17116,-8.550832,106.36119,10.786,4.220508,37.922222,84.0,14.566878528103555,22,3.606
98,2021-07-08 18:30:07+00:00,37.171467,-8.550529,107.79892,17.709,8.292815,32.137802,6.0,43.429042623191684,22,3.649
99,2021-07-08 18:30:10+00:00,37.17168,-8.550401,108.042984,4.288,7.7580423,12.550937,3.0,26.2598583204582,22,3.675
100,2021-07-08 18:30:28+00:00,37.171818,-8.550405,111.0074,8.548,0.051687572,57.265102,18.0,15.348992173044866,22,3.691
101,2021-07-08 18:30:46+00:00,37.171883,-8.550403,111.38276,9.585,0.55442,310.6111,18.0,7.229842253842642,23,3.698
102,2021-07-08 18:31:01+00:00,37.171917,-8.550328,106.27219,12.71,0.2815289,310.59647,15.0,7.6454042370874,23,3.706
103,2021-07-08 18:31:10+00:00,37.171917,-8.55026,107.64756,17.12,0.57287174,99.681335,9.0,6.025005803701958,23,3.712
104,2021-07-08 18:32:25+00:00,37.17163,-8.550499,100.56294,19.246,9.1567,207.1136,75.0,38.29968530295156,24,3.75
105,2021-07-08 18:32:28+00:00,37.171284,-8.550706,99.759895,6.968,9.502357,212.70474,3.0,42.62154329544845,24,3.792
106,2021-07-08 18:32:31+00:00,37.17102,-8.550862,100.305786,4.288,9.370431,198.24586,3.0,32.44682751339238,25,3.825
107,2021-07-08 18:32:34+00:00,37.170784,-8.550941,100.22003,4.824,7.4610205,186.33328,3.0,27.159509730662354,25,3.852
108,2021-07-08 18:32:40+00:00,37.17039,-8.551028,101.57426,4.824,8.639464,211.81818,6.0,44.483803695056814,25,3.897
109,2021-07-08 18:32:43+00:00,37.17028,-8.551276,96.87572,5.36,9.112966,251.20757,3.0,25.148863086480286,25,3.922
110,2021-07-08 18:32:49+00:00,37.170155,-8.551845,99.52521,9.648,6.680584,233.13707,6.0,52.29714369489392,25,3.974
111,2021-07-08 18:32:52+00:00,37.170067,-8.551936,102.19518,7.504,3.949408,232.78258,3.0,12.679207286882699,25,3.987
112,2021-07-08 18:32:56.617000+00:00,37.169987,-8.552109,102.023674,18.914,3.986091,241.47266,4.617,17.72289064439275,25,4.004
113,2021-07-08 18:33:01+00:00,37.170113,-8.552532,102.33652,15.468,9.178925,280.26294,4.383,40.0130813755084,25,4.044
114,2021-07-08 18:33:07+00:00,37.17019,-8.553061,107.682236,10.72,6.242864,285.18182,6.0,47.647679925527925,25,4.092
115,2021-07-08 18:33:10+00:00,37.17027,-8.553202,105.37337,10.184,4.869148,319.20026,3.0,15.336697206528111,25,4.107
116,2021-07-08 18:33:13+00:00,37.1704,-8.553233,103.60732,9.648,3.4397132,339.08557,3.0,14.71399030773791,25,4.122
117,2021-07-08 18:33:19+00:00,37.170433,-8.553145,106.81628,19.31,1.39525,97.7312,6.0,8.617505054764997,25,4.131
118,2021-07-08 18:37:18.227000+00:00,37.17052,-8.553016,107.129166,25.722,3.2885652,29.446426,239.227,14.974330216812202,29,4.146
119,2021-07-08 18:37:22+00:00,37.170807,-8.55291,103.40169,20.984,8.50242,14.023131,3.773,33.26630569284245,29,4.179
120,2021-07-08 18:37:28+00:00,37.171246,-8.552776,108.263466,10.184,7.5373282,12.022242,6.0,50.23772836831449,29,4.229
121,2021-07-08 18:37:31+00:00,37.17146,-8.552712,107.8783,8.04,8.595052,13.959277,3.0,24.46205494401414,30,4.254
122,2021-07-08 18:37:34+00:00,37.171696,-8.552647,108.96642,5.36,9.264783,13.037074,3.0,26.866547034464165,30,4.281
